Title,Supervisor,Aim,URLs,Pre- and Co-Req,Background
,,,http://www.haskell.org/haskellwiki/Haskell?http://gibiansky.github.io/IHaskell/demo.html,,
,,,http://hackage.scs.stanford.edu/package/ghc-vis-0.2.1,,
Visualising Lazy Functional Program Execution,Supervisors: Tim Dwyer and Chris Mears,To develop novel interactive visualisation tools to support programmers in understanding the efficiency and memory use of running haskell programs.,,"Some knowledge of functional programming would be very useful (ideally haskell, but Lisp/ML/etc are also a good foundation). An interest in graphics, visualisation and software usability would also be advantageous.","Pure lazy functional programming languages such as Haskell remain the most advanced programming paradigm in common use. Laziness and functional purity allow the compiler to optimise code in much more sophisticated ways than standard imperative language compilers. Haskell syntax is also, arguably, a more natural and concise way to model problems and algorithms for solving them. However, the difficulty for programmers in these types of languages is understanding what is actually happening with such compiled, optimised code when it is executing. This is a serious blocker to wider adoption of the pure functional paradigm. While a lot of the research in functional languages over the years has been devoted to language and compiler design, it seems less effort has gone into developing really “user friendly” practical tools for developers. There is some recent work in this direction (see links to IHaskell and ghc-vis) however much work remains in making such tools informative and interactive."
,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6092588&tag=1,,
,,,http://www.umanitoba.ca/faculties/arts/anthropology/courses/122/module1/methods.html,,
Qualitative investigation of software development team behaviour,"Supervisors: Robert Merkel, Robyn McNamara, Narelle Warren (TBC)","The aim of this project is to gain insight into the work patterns, interactions, and key challenges facing a software development team in its task. It is hope that this will gain some insight into some of the similarities and differences between the team's nominal development process and what they actually do in practice.",,Some background in software engineering units is required. Training and guidance in qualitative research methods will be provided.,"Kanij, T.; Merkel, R.; Grundy, John, ""A Preliminary Study on Factors Affecting Software Testing Team Performance,"" Empirical Software Engineering and Measurement (ESEM), 2011 International Symposium on , vol., no., pp.359,362, 22-23 Sept. 2011,"
,,,http://intranet.monash.edu.au/bpd/services/environmental-sustainability.html,,
Democratising Big Data: Public Interactive Displays of Sustainability Data,"Supervisors: Lachlan Andrew, Tim Dwyer, Ariel Liebman, Geoff Webb",One possibility is that we set up a public display that can be controlled by passers-by using a Microsoft Kinect interface. Another (complementary) possibility is that we design a mobile or web app that allows people to explore this data on their own device. The point is to raise peoples' awareness of energy usage and efforts to improve sustainability of buildings at Monash. The HCI (Human Computer Interaction) research goal is to explore how novel interactive visualization and effective UI design can engage casual observers.,,This project should appeal to students with an interest in graphics and natural user interface design.,One possibility is that we set up a public display that can be controlled by passers-by using a Microsoft Kinect interface. Another (complementary) possibility is that we design a mobile or web app that allows people to explore this data on their own device. The point is to raise peoples' awareness of energy usage and efforts to improve sustainability of buildings at Monash. The HCI (Human Computer Interaction) research goal is to explore how novel interactive visualization and effective UI design can engage casual observers.
,,,http://scholar.google.com,,
,,,http://genealogy.math.ndsu.nodak.edu/,,
How close are they? Conflict of interest in Academia,Supervisors: Lachlan Andrew,"This project will develop software to determine whether an academic has a ""conflict of interest"" with any of the authors of a document. It will use public databases such as Google Scholar and the mathematics Genealogy Project to determine how ""close"" a candidate reviewer is to the authors of a candidate paper.",,Independent problem solving skills,"This project will develop software to determine whether an academic has a ""conflict of interest"" with any of the authors of a document. It will use public databases such as Google Scholar and the mathematics Genealogy Project to determine how ""close"" a candidate reviewer is to the authors of a candidate paper."
,,,http://redd.csail.mit.edu,,
,,,http://redd.csail.mit.edu,,
Where does my electricity go?,"Supervisors: Reza Haffari, Lachlan Andrew, Ariel Liebman","In this project, we design and develop machine learning techniques suitable for analysing and mining electricity usage data. The ideal model will be able to accommodate other sources of valuable information as well, e.g. time of the day, season, and temperature records. Particularly we explore a powerful statistical model, called Factorial Hidden Markov Models (FHMMs), and augment it with additional components to capture domain knowledge. We will make use of publicly available data in this project (REDD data set from MIT:",,Basic probability,"In this project, we design and develop machine learning techniques suitable for analysing and mining electricity usage data. The ideal model will be able to accommodate other sources of valuable information as well, e.g. time of the day, season, and temperature records. Particularly we explore a powerful statistical model, called Factorial Hidden Markov Models (FHMMs), and augment it with additional components to capture domain knowledge. We will make use of publicly available data in this project (REDD data set from MIT:"
,,,http://intranet.monash.edu.au/bpd/services/environmental-sustainability.html,,
Finding Monash's heating and cooling costs,"Supervisors: Lachlan Andrew, Geoff Webb, Tim Dwyer, Ariel Liebman","In this project, we will use a combination of manual sleuthing and data mining techniques to determine what component of Monash's electricity consumption is due to heating and cooling. This will combine the above data set with hourly temperature measurements to try to detect the times at which a building's air conditioning or heating turns on or off, and the power consumption while it is on. The resulting data will be useful for raising awareness about which energy-saving strategies are likely to produce substantial savings. This data will ideally also form the input to a data visualisation project to convey this data to the wider campus community.",,Basic probability. Understanding Fourier transforms would be an advantage,"In this project, we will use a combination of manual sleuthing and data mining techniques to determine what component of Monash's electricity consumption is due to heating and cooling. This will combine the above data set with hourly temperature measurements to try to detect the times at which a building's air conditioning or heating turns on or off, and the power consumption while it is on. The resulting data will be useful for raising awareness about which energy-saving strategies are likely to produce substantial savings. This data will ideally also form the input to a data visualisation project to convey this data to the wider campus community."
Planning for an uncertain energy future,"Supervisors: Aldeida Aleti, Ariel Liebman","Electricity utilities, system planners, and governments are facing many future trends that are extremely uncertain. For example there is a great deal of uncertainty about electricity demand growth (or decline) compounded by uncertainty in the rate at which renewable technology costs decline. This project aims to develop optimisation techniques to model the impacts of uncertainty in demand growth, technology costs, and electricity generation feed stocks on optimal investment strategies in renewable technologies in an electricity system. The project will take some of it’s inspiration from the work done by the CSIRO Future Grid Forum.",,Project will appeal to student with interest in simulation and modelling with some programming experience. No prior knowledge in optimisation and energy systems required.,"Electricity utilities, system planners, and governments are facing many future trends that are extremely uncertain. For example there is a great deal of uncertainty about electricity demand growth (or decline) compounded by uncertainty in the rate at which renewable technology costs decline. This project aims to develop optimisation techniques to model the impacts of uncertainty in demand growth, technology costs, and electricity generation feed stocks on optimal investment strategies in renewable technologies in an electricity system. The project will take some of it’s inspiration from the work done by the CSIRO Future Grid Forum."
Software Tools for the Manipulation of 3D Image Content,Supervisors: Peter Tischer and Carlo Kopp,"Computer displays and televisions built for the presentation of 3D (stereoscopic) content are now becoming commodity hardware products, rather than specialised research support products. The market for 3D products is driven mostly by the entertainment sector, and in computer displays, the dominant market for 3D displays and supporting graphics adaptors is the computer gaming market, with several hundred products now capable of driving a 3D display. Responding to the market, hardware vendors are now producing 3D LED displays for desktop and deskside computers, or high performance notebooks with 3D LED displays and infrared emitters for 3D glasses built into the notebook. Concurrently, stereoscopic (3D) cameras are re-emerging in the market, with two products now available. While hardware for displaying 3D content is now becoming affordable and common, there is a shortage of software tools available for manipulating 3D content, especially 3D digital imagery produced by stereo cameras. Extant proprietary software tools like Photoshop, Aperture, Lightroom, Optics Pro, and GPL tools like GIMP lack proper support, or provide at best rudimentary support for 3D imagery.",,A student will not need to have studied image processing or computer graphics at undergraduate level,"The aim of this project is to produce an Open Source software tool and capable of converting, parallax adjusting, displaying and exporting imagery in common stereoscopic formats. The tool must be highly portable and integration with GIMP would be highly desirable. The overall objective of the project is to produce an image editor for 3D images. The initial implementation will enable operations to be carried out on 3D images or the fields of stereoscopic images. The tool should be designed in such a way that it can be turned into a full editing tool that will allow operations to be carried out on components of images. It is expected the prototype will operate on nVidia 3D adaptors and 120 Hz 3D monitors."
,,,http://www.csiro.au/Organisation-Structure/Flagships/Energy-Flagship/Future-Grid-Forum-brochure.aspx,,
Simulating batteries in smart grid,"Supervisors: Vincent Lee, Ariel Liebman, John Betts",This project aims to model the integration of batteries into the smart grid using cloud based high performance computing. The model incorporates an industry standard power system simulation tool called Plexos configured to find the optimal investment in renewable generation technologies in a complex electricity network. The project will entail incorporating models of a range of new battery technologies to determine whether batteries can significantly improve the cost of investing in renewable and other low carbon energy technologies.,,"Projct will appeal to student with interest in simulation, business decision making and modelling. No prior knowledge in optimisation and energy systems required.",This project aims to model the integration of batteries into the smart grid using cloud based high performance computing. The model incorporates an industry standard power system simulation tool called Plexos configured to find the optimal investment in renewable generation technologies in a complex electricity network. The project will entail incorporating models of a range of new battery technologies to determine whether batteries can significantly improve the cost of investing in renewable and other low carbon energy technologies.
,,,http://www.quintiq.com/optimization/vrptw-world-records.html,,
,,,http://www.sintef.no/Projectweb/TOP/VRPTW/,,
Beating the World Record on Freight Transport Problems,"Supervisors: Mark Wallace, Richard Kelly","The recent method of guided ejection chains has been successful on several transport applications, and another method based on large neighbourhood search was used in Richard Kelly's recent PhD to obtain world-class results, with a couple of world records. This project will experiment with a combination of guided ejection search and large neighbourhood search to obtain new world records.",,"Experience in programming in C++, an interest in optimisation technology, and the desire to win!","Nagata, Y., & Bräysy, O. (2009). A powerful route minimization heuristic for the vehicle routing problem with time windows. Operations Research Letters, 37(5), 333-338."
,,,http://www.quintiq.com/optimization/vrptw-world-records.html,,
,,,SINTEF VRPTW Benchmarks: http://www.sintef.no/Projectweb/TOP/VRPTW/,,
Beating the World Record on Freight Transport Problems,"Supervisors: Mark Wallace, Richard Kelly","The recent method of guided ejection chains has been successful on several transport applications, and another method based on large neighbourhood search was used in Richard Kelly's recent PhD to obtain world-class results, with a couple of world records. This project will experiment with a combination of guided ejection search and large neighbourhood search to obtain new world records.",,"Experience in programming in C++, an interest in optimisation technology, and the desire to win!","Nagata, Y., & Bräysy, O. (2009). A powerful route minimization heuristic for the vehicle routing problem with time windows. Operations Research Letters, 37(5), 333-338."
,,,Queensland Health Corporate Publications: Change management Documents: Located at http://www.health.qld.gov.au/publications/change_management/,,
,,,Located at: http://delivery.acm.org/10.1145/510000/505249/p74-scott.pdf?key1=505249&key2=8269509621&coll=GUIDE&dl=GUIDE&CFID=80880926&CFTOKEN=57269991,,
,,,"Titulair, H. B., Oktamis, S., and Pinsonneault, A. (2005). Dimensions of ERP implementations and their impact on ERP Project outcomes. Journal of Information Technology Management. XVI, 1. Located at http://jitm.ubalt.edu/XVI-1/article1.pdf",,
ERP in the Cloud by SMEs,Supervisors: Sue Foster,To identify the critical issues that affect organisations that conduct their ERP systems in the cloud,,Enterprise information systems knowledge would be an advantage,"Skok, W., & Legge, M. (2001). Evaluating Enterprise Resource Planning (ERP) Systems using an Interpretive Approach. ACM., SIGCPR, San Diego. 189-197. (Benefit realisation"
,,,http://www.health.qld.gov.au/publications/change_management/,,
,,,Located at: http://delivery.acm.org/10.1145/510000/505249/p74-scott.pdf?key1=505249&key2=8269509621&coll=GUIDE&dl=GUIDE&CFID=80880926&CFTOKEN=57269991,,
"SOA implementation benefits, barriers and costs",Supervisors: Sue Foster,To identify the issues that affect organisations adopting SOA,,Enterprise information systems knowledge would be an advantage,"Shang, S. & Seddon, P. B. (2000). ""A comprehensive framework for classifying the benefits of ERP systems"" in the proceedings of the twenty third Americas Conference on Information System"
,,,"Barati, D. Threads of success and failure in business process improvement. Located at http://www.isixsigma.com/library/content/c070129a.asp",,
,,,http://www.isixsigma.com/offsite.asp?A=Fr&Url=http://www.prosci.com/w_0.htm,,
Extending the ERP system beyond the organisational boundaries,Supervisors: Sue Foster,To identify the critical issues impacting on organisations that extend their ERP systems beyond organisational boundaries,,Enterprise information systems knowledge would be an advantage,"Francoise, O., Bourgault., M. & Pellerin, R. (2009). ERP implementation through critical success factors' management. Business Process Management Journal, 15(3), 371-394."
,,,http://users.monash.edu.au/~aldeidaa,,
Adaptive Genetic Algorithms in Search-Based Software Engineering,Supervisors: Aldeida Aleti,The goal of this project is to evaluate (based on simulations and realistic examples) adaptive genetic algorithms in the context of specific software engineering problem(s). The specific tasks are:,,"Programming skills in Java or C++, Understanding of, or willingness to learn, the software engineering and statistical foundations needed for the project.",The goal of this project is to evaluate (based on simulations and realistic examples) adaptive genetic algorithms in the context of specific software engineering problem(s). The specific tasks are:
,,,Inferring social behavior and interaction on Twitter by combining metadata about users & messages (PhD thesis). <http://arrow.monash.edu.au/vital/access/manager/Repository/monash:120048>,,
Detection of interesting patterns via the duality of user/message metadata on Twitter,Supervisors: Marc Cheong,"The aim of this project is to investigate new approaches to Twitter metadata analysis. This might be done by improving existing algorithms or creating new ones (based on theories in e.g. HCI, social science, etc) and evaluating the effectiveness in modelling/studying a real-world phenomenon.",,"Knowledge in basic statistics, data mining techniques, social media.","The aim of this project is to investigate new approaches to Twitter metadata analysis. This might be done by improving existing algorithms or creating new ones (based on theories in e.g. HCI, social science, etc) and evaluating the effectiveness in modelling/studying a real-world phenomenon."
,,,http://scholar.google.com.au/scholar?q=computer+cryptic+crosswords,,
,,,http://comjnl.oxfordjournals.org/content/22/1/67.abstract,,
Creating an extensible framework for automated solving of cryptic crosswords using machine learning and natural language techniques,"Supervisors: Robyn McNamara, David Squire","Realising this niche, this project aims to create an extensible framework for the automated solving of cryptic crossword clues (and by extension, an entire cryptic crossword grid). This framework should ideally be plugin-based, to allow for extensibility in e.g. handling new clue types. The proposed solution could use existing sources of semantic relations between words, e.g. the Natural Language ToolKit (NLTK), or WordNet.",,"Knowledge (or willingness to learn) the cryptic crossword is a must. From the technical standpoint: use of the NLTK (or similar) libraries, a good knowledge of data structures and search algorithms.","Realising this niche, this project aims to create an extensible framework for the automated solving of cryptic crossword clues (and by extension, an entire cryptic crossword grid). This framework should ideally be plugin-based, to allow for extensibility in e.g. handling new clue types. The proposed solution could use existing sources of semantic relations between words, e.g. the Natural Language ToolKit (NLTK), or WordNet."
,,,http://computer.howstuffworks.com/server-virtualization1.htm,,
,,,http://greeneconomypost.com/virtualization-data-center-energy-efficiency-19009.htm,,
Does virtualisation save energy?,Supervisors: Lachlan Andrew,"This project will involve measuring the performance (speed per watt) of virtualised hosts running on different hardware, and compare that with the performance of native execution. The final outcome will be a design guide telling operators when it is beneficial to virtualise and when it is not.",,Requires general programming skills.,"This project will involve measuring the performance (speed per watt) of virtualised hosts running on different hardware, and compare that with the performance of native execution. The final outcome will be a design guide telling operators when it is beneficial to virtualise and when it is not."
,,,https://en.wikipedia.org/wiki/Jpeg,,
Clear text in JPEGs,Supervisors: Lachlan Andrew and Mark Carman,This project will develop software for removing speckles around text and lines in JPEG images.,,Programming skills (C/C++ and/or Matlab preferred),"It will pose the decoding as an optimization problem. (For a given compressed file, it will find the image with the maximum number of background-coloured pixels that could possibly have been compressed into that file.) This will result in a much clearer image than the traditional decoding technique. If time permits, the resulting algorithm will be implemented as a plug-in for Chrome and Firefox."
,,,"The BM25 model is in ""The Probabilistic Relevance Framework: BM25 and Beyond"" at http://dl.acm.org/citation.cfm?id=1704810",,
Probabilistic Methods for Information Retrieval,Supervisors: Prof Wray Buntine,To explore richer predictive models of text in the language modelling style and evaluate their performance on some standard collections. We have some probabilistic methods in mind here. An initial study would abandon computational considerations and test out different predictive models for retrieval performance ignoring cost.,,"FIT3080 Intelligent systems or equivalent is a prerequisite, and knowledge of probability and/or experimental computer science. Good programming experience (the code is in C).",To explore richer predictive models of text in the language modelling style and evaluate their performance on some standard collections. We have some probabilistic methods in mind here. An initial study would abandon computational considerations and test out different predictive models for retrieval performance ignoring cost.
,,,http://monash.edu.au/cave2,,
"Visualisation Applications for ""ContextuWall"" in the Monash CAVE2",Supervisors: Dr Tim Dwyer and Prof Falk Schreiber,"Immersive Analytics aims to create novel, natural ways for people to explore and interact with complex data. This project aims to repurpose Monash's $1.9 Million CAVE2 facility to better support data analysis. It will develop gesture-based interaction and large display methods in the CAVE2.",,"Programming skills (ideally one or more of: Python, C#, C++, Java)","Immersive Analytics aims to create novel, natural ways for people to explore and interact with complex data. This project aims to repurpose Monash's $1.9 Million CAVE2 facility to better support data analysis. It will develop gesture-based interaction and large display methods in the CAVE2."
Visualising Biological Pathways in Cola.js,Supervisors: Dr Tim Dwyer and Prof Falk Schreiber,The future of the computing is the web and HTML5 now offers a complete platform for building rich interactive applications. Cola.js (A.K.A. 'WebCoLa') is an open-source JavaScript library developed by researchers in our Faculty for arranging your HTML5 documents and diagrams. This project will extend Cola.js to visualise biological networks and cellular processes.,,"Programming skills (ideally Javascript and HTML5), systems biology standards (SBGN, SBML)",The future of the computing is the web and HTML5 now offers a complete platform for building rich interactive applications. Cola.js (A.K.A. 'WebCoLa') is an open-source JavaScript library developed by researchers in our Faculty for arranging your HTML5 documents and diagrams. This project will extend Cola.js to visualise biological networks and cellular processes.
,,,http://mit.bme.hu/~micskeiz/pages/modelbased_testing.html,,
,,,http://openbankproject.com/en/,,
Verification and validation of open APIs for banking,Supervisors: Yuan-Fang Li and Robert Merkel,"In this project, we propose to combine formal methods and software testing techniques to model, verify and validate open banking APIs and their interactions. Modeling and checking the APIs will help to show the fundamental soundness of the APIs - or reveal potentially serious design flaws, if they exist. Then, the model can be used to efficiently test systems that implement the modeled APIs, thus giving confidence that the systems under test implement the APIs correctly. This project is supported by ANZ Bank and will have a focus on ANZ banking systems.",,Having studied FIT3013 or equivalent would be an advantage.,"In this project, we propose to combine formal methods and software testing techniques to model, verify and validate open banking APIs and their interactions. Modeling and checking the APIs will help to show the fundamental soundness of the APIs - or reveal potentially serious design flaws, if they exist. Then, the model can be used to efficiently test systems that implement the modeled APIs, thus giving confidence that the systems under test implement the APIs correctly. This project is supported by ANZ Bank and will have a focus on ANZ banking systems."
Shadow Business Intelligence (18 pts),Supervisors: David Arnott and Caddie Gao,The aim of the project is to investigate the existence and nature of shadow BI.,,To tackle this project students need an undergraduate degree in IT (preferably in business information systems) or be a student in the Master of Business Information Systems./p>,"the collapse in the cost of hardware, software, and networks, as well as increased IT education across all business disciplines. No research has been conducted into shadow BI and no industry source has claimed"
Galactic archaeology using Minimum Message Length,Supervisors: David Dowe and Prof. John Lattanzio,We seek patterns in the data of chemical element concentrations in terms of clustering the stars into groups and also in terms of finding different ratios of concentrations in the various groups. We do this using the Bayesian information-theoretic Minimum Message Length (MML) principle of machine learning. The work will involve the statistical technique of latent factor analysis and the technique from statistics and machine learning of mixture modelling and clustering.,,"Good marks in university mathematics-related or statistics-related subjects, at least to first-year level, and an ability at or interest in mathematics. Likewise, knowledge of or interest in astronomy./p>",We seek patterns in the data of chemical element concentrations in terms of clustering the stars into groups and also in terms of finding different ratios of concentrations in the various groups. We do this using the Bayesian information-theoretic Minimum Message Length (MML) principle of machine learning. The work will involve the statistical technique of latent factor analysis and the technique from statistics and machine learning of mixture modelling and clustering.
Extended Database Normalisation Using MML,Supervisors: David Dowe and Nayyar Zaidi,"We take this to higher normal forms, and then apply this on larger data-sets.",,"Good marks in university mathematics-related or statistics-related subjects, at least to first-year level, and an ability at or interest in mathematics. Also, satisfactory completion of at least one database-related subject.","David L. Dowe and Nayyar A. Zaidi (2010), ""Database Normalization as a By-product of Minimum Message Length Inference"", Proc. 23rd Australian Joint Conference on Artificial Intelligence (AI'2010) [Springer Lecture Notes in Artificial Intelligence (LNAI), vol. 6464], Adelaide, Australia, 7-10 December 2010, Springer, pp82-91."
,,,"""Humans Need Not Apply"" [https://www.youtube.com/watch?v=7Pq-S557XQU, published on 13 Aug 2014]",,
Effects of automation on employment and society,Supervisors: David Dowe,"To build upon the given references and other studies to address these questions of employment and society, initially in an Australian context. This work will possibly be partly supported financially by a branch of the Australian Government.",,"A knowledge of I.T. and automation, the ability to read and understand the given references. This includes having a sufficient background in mathematics and statistics to understand the relevant analyses. A knowledge of economics or sociology would be a bonus.","Tali Kristal (2013), ""The Capitalist Machine: Computerization, Workers' Power and the Decline in Labor's Share Within U.S. Industries"", American Sociological Review, 78 (3), pp361-389."
,,,http://en.wikipedia.org/wiki/Big_data,,
,,,http://en.wikipedia.org/wiki/Apache_Hadoop,,
,,,http://en.wikipedia.org/wiki/MapReduce,,
Big Data Processing: An Industry Case Study with the Railway Institute,Supervisors: Assoc Prof David Taniar,"This project aims to solve big data problems by developing programs to answer queries in a timely manner. You will program using MapReduce/Hadoop, and latest technologies, such as Spark.",,A strong background in programming and databases/p>,"This project aims to solve big data problems by developing programs to answer queries in a timely manner. You will program using MapReduce/Hadoop, and latest technologies, such as Spark."
,,,https://dl.dropboxusercontent.com/u/15183317/25981366_FIT1016_FinalReport.pdf,,
Music Database Processing,Supervisors: Assoc Prof David Taniar,"This project aims to process and analyse classical music recordings, including sonata form analysis, chord progression, concerto identification, etc. You will need to learn the basic of signal processing, and Matlab.",,"You must be an intermediate music instrument player (e.g. minimum level 5 or 6 piano, violin/cello, brass, woodwind)./p>","This project aims to process and analyse classical music recordings, including sonata form analysis, chord progression, concerto identification, etc. You will need to learn the basic of signal processing, and Matlab."
,,,http://www.csse.monash.edu/~webb/Files/Webb14.pdf,,
Learning from non-stationary distributions,Supervisors: Geoff Webb,"This Project will be the first comprehensive investigation of emerging technologies for learning from non-stationary distributions, guided by the insight that subgroups change in different ways, at different times, and at different speeds. Outcomes will include robust, tested, and reliable data analytics for non-stationary data - enabling far more efficient use of big data, with countless real-world applications.",,FIT2004 Algorithms and data structures or equivalent,"G.I. Webb (2014). Contrary to Popular Belief Incremental Discretization can be Sound, Computationally Efficient and Extremely Useful for Streaming Data. In Proceedings of the 14th IEEE International Conference on Data Mining."
,,,http://iridia.ulb.ac.be/IridiaTrSeries/rev/IridiaTr2012-014r002.pdf,,
Constraint-based Mission Planning for Fleets of Unmanned Aerial Vehicles,"Supervisors: Jan Carlo Barca, Guido Tack and Mark Wallace","This project aims to address this issue by developing constraint-based software solutions that enable human operators to determine the number of aerial vehicles required to carry out complex operations, subject to time and fuel constraints. There may also be an opportunity to visualise the mission plans and to perform interactive optimisation of the plan using state-of-the-art visualisation technology available at Caulfield School of Information Technology.",,Advanced programming experience is essential.,"C. Ramirez-Atencia, G. Bello-Orgaz, M.D. R-Moreno, D. Camacho, (2014) ""A simple CSP-based model for Unmanned Air Vehicle Mission Planning,"" Proceedings of 2014 IEEE International Symposium on Innovations in Intelligent Systems and Applications (INISTA), pp.146,153."
Profiling Public Transport Users on Social Media.,"Supervisors: Sue Bedingfield, Marc Cheong and Kerri Morgan","The aim of this project is to identify types of Public Transport (PT) users who are active on social media, their views on the PT system and to measure their engagement in this system. In particular, groups of people that are concerned about specific areas of the PT system. The source of information about public transport users will be obtained from social media data from Twitter. A list of seed users will be gathered in two ways: Firstly, identify all official Victorian Public Transport Twitter accounts, then the users who communicate with these accounts. Secondly, identify anyone who has tweeted about public transport in Victoria.",,"Potential students should have skills in data mining and statistics, a basic understanding of the Victorian PT system, and an interest in applying these skills to social media analysis. Interested students, please talk to Kerri, Marc and Sue.",Two types of information will be gathered: the metadata of the users (available from Twitter) and text data from the tweets themselves obtained by text mining using RapidMiner or other software. The types of users commenting on public transport will then be profiled using clustering techniques on each of these domains. Cross-clustering techniques may be used to integrate these results.
,,,https://developers.google.com/glass/,,
,,,http://ieeexplore.ieee.org/document/963459/,,
Promoting Healthy Dietary Habits by Lifelogging with Google Glass,Supervisors: Tim Dwyer; Marc Cheong,"We propose the use of Glass to develop a lifelogging system to promote health and wellbeing by tracking consumption patterns. Features of this system may include, but are not limited to:",,- Human-Computer Interaction (specifically augmented reality),"- Nicotine consumption patterns: helps the user track the amount of nicotine consumed (e.g. via patches, or cigarettes) on a daily basis, useful for a nicotine user who is thinking of quitting."
,,,https://moodle.vle.monash.edu.au,,
Shareholder Value of IT Investments,"Supervisors: Vincent Lee and Yen Cheung, and ANZ supervisor (to be advised)","Define ways to measure contribution of IT spend to shareholder value, a methodology or model that can be applied, and a theorem and heuristics that executives can leverage in making IT investment decisions.",,Student should have studied,Making the quantitative connection between IT investment and shareholder will help the Bank prioritise annual IT spend in addition to strategic alignment and business benefits (the GAP)
Clustering of DNA sequences to identify DNA-binding sites,"Supervisors: Peter Tischer , Mirana Ramialison (Australian Regenerative Medical Institute, or ARMI), David Dowe","We use clustering (and, more generally, mixture modelling) to cluster and identify the binding sites of these genes in order to decrypt the DNA code that determines the identity of a cell (e.g: heart cell, liver cell, …, etc.). Ultimately, this will give insight into understanding how regeneration process occurs (e.g.: how animals such as the zebrafish can regrow organs but humans can't).",,"Essential: Mathematics to at least 1st year university level, interest in bioinformatics.","Haudry Y.*, Ramialison M.*, Paten B., Wittbrodt J., Ettwiller L. (2010) Using Trawler_standalone to discover overrepresented motifs in DNA and RNA sequences derived from various experiments including chromatin immunoprecipitation. (*=Co-first authors). Nature Protocols. 2010;5(2):323-34."
,,,http://onlinelibrary.wiley.com.ezproxy.lib.monash.edu.au/doi/10.1002/widm.1075/full,,
,,,http://onlinelibrary.wiley.com.ezproxy.lib.monash.edu.au/doi/10.1002/widm.24/full,,
,,,http://www.sciencedirect.com.ezproxy.lib.monash.edu.au/science/book/9780123748560,,
,,,https://spark.apache.org/,,
,,,https://hadoop.apache.org/,,
,,,https://en.wikipedia.org/wiki/MapReduce,,
,,,https://cloud.sagemath.com/,,
,,,https://cloud.sagemath.com/help,,
Big Data in Education: Learning Analytics using Data Mining,Supervisors: Chris Messom,To review current state of the art in Learning Analytic systems and identify an area that would benefit from supervised and unsupervised classification data mining techniques.,,"Some or all of: Java, linux/unix, WEKA data mining tools, Hadoop, MapReduce, Spark, Moodle and/or Sage Maths tools.","Implement a prototype Big Data learning analytic system that interfaces to a learning management system (such as Moodle), to address the research questions."
Inference of ecological species distribution models,Supervisors: David Dowe and Prof. Lewi Stone (RMIT),"This project will attempt to derive innovative statistical tools to improve our understanding of species distributions. These models predict the spatial distribution of all individuals of a particular species within its potential geographic range. The models are generally fitted to observed spatial survey data of a single species together with local measurements of environmental or geographical conditions that might potentially influence species’ occurrence or location (e.g., temperature, rainfall or elevation). Predictions of a species’ spatial distribution may then be computed under different environmental scenarios, such as modifying the SDM's environmental parameters to reflect hypothetical climate or land use changes. Having the ability to predict the likely locations of a species under different environmental scenarios is important for a wide range of conservation management and policy contexts, including the management of threatened species, assessing the impact of development scenarios, determining biodiversity “hotspots,” and predicting the likely ranges of invasive species. Very few models proposed for the analysis of these data-sets account for the effects of errors in detection of individuals, even though nearly all surveys of natural populations are prone to detection errors, which can be significant. Failure to account for imperfect detectability in models can induce bias in the parameters and predictions. This is an exciting challenge for which solutions are sought.",,Essential: Mathematics to at least 1st year university level.,"D. L. Dowe (2011), ""MML, hybrid Bayesian network graphical models, statistical consistency, invariance and uniqueness"", Handbook of the Philosophy of Science - (HPS Volume 7) Philosophy of Statistics, P.S. Bandyopadhyay and M.R. Forster (eds.), Elsevier, [ISBN: 978-0-444-51862-0 {ISBN 10: 0-444-51542-9 / ISBN 13: 978-0-444-51862-0}], pp901-982, 1/June/2011."
,,,http://en.wikipedia.org/wiki/Support_vector_machine,,
,,,"M. Brambilla, E. Ferrante, M. Birattari, and M. Dorigo. (2012) ""Swarm robotics: A review from the swarm engineering perspective"", Swarm Intelligence, vol. 7, issue 1, pp 1-41. Available: http://iridia.ulb.ac.be/IridiaTrSeries/rev/IridiaTr2012-014r002.pdf",,
,,,"C. Ramirez-Atencia, G. Bello-Orgaz, M.D. R-Moreno, D. Camacho, (2014) ""A simple CSP-based model for Unmanned Air Vehicle Mission Planning,"" Proceedings of 2014 IEEE International Symposium on Innovations in Intelligent Systems and Applications (INISTA), pp.146,153. Available: https://dl.dropboxusercontent.com/u/27121329/Mission%20Planning.pdf",,
Swarming and Robustness,Supervisors: Jan Carlo Barca,"This project aims to address this question by formulating mechanisms that can be used to evaluate the robustness of swarms under varying communication and control topologies. The student will work within Monash Swarm Robotics Laboratory and attend weekly meetings with researchers & students in the lab. This is a great opportunity for the selected student to learn about swarm robotics and work within a multi-disciplinary team consisting of software, mechanical and electrical engineers.",,Advanced programming experience is essential.,"This project aims to address this question by formulating mechanisms that can be used to evaluate the robustness of swarms under varying communication and control topologies. The student will work within Monash Swarm Robotics Laboratory and attend weekly meetings with researchers & students in the lab. This is a great opportunity for the selected student to learn about swarm robotics and work within a multi-disciplinary team consisting of software, mechanical and electrical engineers."
,,,https://bitcoin.org/bitcoin.pdf,,
